tick,match_time_seconds,stock_provisions,stock_matter,stock_lumen,stock_aether,population_used,population_cap,completed_dwellings,citizen_count,pathfinder_count,vanguard_count,quarrel_count,army_count,trained_army_count,idle_citizens,home_provisions_remaining,home_matter_remaining,home_lumen_remaining,home_aether_remaining,useful_action_available
0,0.000000,180.000000,160.000000,40.000000,0.000000,4,10,0,4,0,0,0,0,0,4,infinity,1400.000000,550.000000,0.000000,true
200,10.000000,82.500000,162.000000,41.000000,0.000000,6,10,0,4,0,0,0,0,0,0,infinity,1397.410000,550.000000,0.000000,true
400,20.000000,55.000000,174.000000,42.000000,0.000000,7,10,0,5,0,0,0,0,0,0,infinity,1390.000000,540.375000,0.000000,true
600,30.000000,46.780000,129.400000,53.000000,0.000000,8,10,0,6,0,0,0,0,0,0,infinity,1381.600000,540.000000,0.000000,true
800,40.000000,49.280000,131.400000,54.000000,0.000000,8,18,1,6,0,0,0,0,0,0,infinity,1375.440000,540.000000,0.000000,true
1000,50.000000,11.780000,143.400000,55.000000,0.000000,9,18,1,7,0,0,0,0,0,0,infinity,1363.270000,535.435000,0.000000,true
1200,60.000000,44.280000,165.400000,56.000000,0.000000,9,18,1,8,0,0,0,0,0,0,infinity,1347.750000,520.000000,0.000000,true
1400,70.000000,36.780000,177.400000,77.000000,0.000000,10,18,1,9,0,0,0,0,0,1,infinity,1331.870000,517.415000,0.000000,true
1600,80.000000,19.280000,199.400000,78.000000,0.000000,11,18,1,9,0,0,0,0,0,0,infinity,1317.400000,501.585000,0.000000,true
1800,90.000000,11.780000,211.400000,99.000000,0.000000,12,18,1,10,0,0,0,0,0,0,infinity,1301.600000,499.340000,0.000000,true
2000,100.000000,64.280000,223.400000,100.000000,0.000000,12,18,1,11,0,0,0,0,0,0,infinity,1274.670000,483.620000,0.000000,true
2200,110.000000,106.780000,255.400000,121.000000,0.000000,12,18,1,11,0,0,0,0,0,0,infinity,1252.560000,477.415000,0.000000,true
2400,120.000000,159.280000,287.400000,122.000000,0.000000,12,18,1,12,0,0,0,0,0,0,infinity,1235.230000,455.920000,0.000000,true
2600,130.000000,218.580000,199.400000,122.735000,0.000000,12,18,1,12,0,0,0,0,0,0,infinity,1221.530000,450.265000,0.000000,true
2800,140.000000,171.080000,191.400000,123.735000,0.000000,14,18,1,12,0,0,0,0,0,0,infinity,1199.990000,438.935000,0.000000,true
3000,150.000000,188.580000,213.400000,124.735000,0.000000,15,18,1,12,1,0,0,0,1,0,infinity,1176.000000,423.005000,0.000000,true
3200,160.000000,206.720000,162.570000,145.735000,0.000000,16,18,1,12,1,1,0,1,2,0,infinity,1163.200000,415.535000,0.000000,true
3400,170.000000,204.220000,174.570000,136.735000,0.000000,17,26,2,12,2,1,0,1,3,0,infinity,1140.890000,400.155000,0.000000,true
3600,180.000000,221.720000,186.570000,157.735000,0.000000,18,26,2,12,2,2,0,2,4,0,infinity,1119.350000,390.265000,0.000000,true
3800,190.000000,239.220000,208.570000,158.735000,0.000000,19,26,2,12,3,2,0,2,5,0,infinity,1095.790000,371.025000,0.000000,true
4000,200.000000,301.720000,230.570000,179.735000,0.000000,19,26,2,12,3,2,0,2,5,0,infinity,1072.000000,363.720000,0.000000,true
4200,210.000000,319.220000,232.570000,180.735000,0.000000,20,26,2,12,3,3,0,3,6,0,infinity,1051.520000,346.735000,0.000000,true
4400,220.000000,336.720000,264.570000,191.735000,0.000000,21,26,2,12,4,3,0,3,7,0,infinity,1032.430000,338.285000,0.000000,true
4600,230.000000,354.220000,256.570000,202.735000,0.000000,22,26,2,12,4,4,0,4,8,0,infinity,1007.750000,323.335000,0.000000,true
4800,240.000000,371.720000,288.570000,203.735000,0.000000,23,26,2,12,5,4,0,4,9,0,infinity,982.560000,310.265000,0.000000,true
5000,250.000000,347.740000,162.850000,119.735000,0.000000,25,26,2,12,5,4,0,4,9,0,infinity,966.620000,307.130000,0.000000,true
5200,260.000000,355.240000,184.850000,110.735000,0.000000,26,34,3,12,5,5,0,5,10,0,infinity,948.640000,292.070000,0.000000,true
5400,270.000000,317.740000,196.850000,101.735000,0.000000,28,34,3,12,6,5,1,6,12,0,infinity,930.680000,281.300000,0.000000,true
5600,280.000000,310.240000,208.850000,72.735000,0.000000,29,34,3,12,6,5,2,7,13,0,infinity,902.150000,266.635000,0.000000,true
5800,290.000000,327.740000,230.850000,73.735000,0.000000,30,34,3,12,6,6,2,8,14,0,infinity,876.400000,256.965000,0.000000,true
6000,300.000000,320.240000,207.850000,54.735000,0.000000,32,34,3,12,7,6,3,9,16,0,infinity,865.780000,240.265000,0.000000,true
6200,310.000000,282.740000,209.850000,35.735000,0.000000,34,42,4,12,8,6,4,10,18,0,infinity,849.000000,229.385000,0.000000,true
6400,320.000000,300.240000,221.850000,36.735000,0.000000,35,42,4,12,9,6,4,10,19,0,infinity,822.150000,212.235000,0.000000,true
6600,330.000000,327.740000,243.850000,27.735000,0.000000,36,42,4,12,9,6,5,11,20,0,infinity,797.650000,204.765000,0.000000,true
6800,340.000000,335.240000,275.850000,18.735000,0.000000,37,42,4,12,9,7,6,13,22,0,infinity,785.290000,186.955000,0.000000,true
7000,350.000000,342.740000,277.850000,39.735000,0.000000,38,42,4,12,10,7,6,13,23,0,infinity,761.100000,179.330000,0.000000,true
7200,360.000000,325.240000,299.850000,10.735000,0.000000,38,42,4,12,10,6,7,13,23,0,infinity,735.980000,163.555000,0.000000,true
7400,370.000000,332.740000,301.850000,21.735000,0.000000,37,42,4,12,8,7,8,15,23,0,infinity,717.670000,150.265000,0.000000,true
7600,380.000000,325.240000,323.850000,2.735000,0.000000,39,42,4,12,9,7,8,15,24,0,infinity,695.220000,140.970000,0.000000,true
7800,390.000000,411.490000,360.850000,13.735000,0.000000,35,42,4,12,8,6,9,15,23,0,infinity,675.430000,121.080000,0.000000,true
8000,400.000000,465.270000,281.950000,14.735000,0.000000,35,42,4,12,8,6,9,15,23,0,infinity,655.210000,117.460000,0.000000,true
8200,410.000000,427.770000,273.950000,5.735000,0.000000,37,42,4,12,8,6,9,15,23,0,infinity,640.900000,100.265000,0.000000,true
8400,420.000000,445.270000,268.100000,26.735000,0.000000,38,42,4,12,8,7,9,16,24,0,infinity,630.890000,95.040000,0.000000,true
8600,430.000000,472.770000,290.100000,17.735000,0.000000,39,42,4,12,9,7,9,16,25,0,infinity,610.900000,72.170000,0.000000,true
8800,440.000000,480.270000,302.100000,18.735000,0.000000,40,42,4,12,9,7,9,16,25,0,infinity,586.550000,69.605000,0.000000,true
9000,450.000000,497.770000,334.100000,9.735000,0.000000,40,42,4,12,8,8,9,17,25,0,infinity,574.180000,48.770000,0.000000,true
9200,460.000000,480.270000,326.100000,0.735000,0.000000,42,42,4,12,9,8,10,18,27,0,infinity,550.900000,40.265000,0.000000,true
9400,470.000000,532.770000,348.100000,11.735000,0.000000,42,42,4,12,10,8,10,18,28,0,infinity,534.390000,28.275000,0.000000,true
9600,480.000000,629.020000,385.100000,12.735000,0.000000,40,42,4,12,9,8,11,19,28,0,infinity,513.620000,10.265000,0.000000,true
9800,490.000000,587.840000,277.100000,13.735000,0.000000,40,42,4,12,8,7,11,18,26,0,infinity,505.370000,7.515000,0.000000,true
10000,500.000000,605.340000,289.100000,4.735000,0.000000,41,42,4,12,9,7,11,18,27,0,infinity,487.960000,0.000000,0.000000,true
10200,510.000000,667.840000,311.100000,16.000000,0.000000,41,42,4,12,9,7,11,18,27,0,infinity,455.280000,0.000000,0.000000,true
10400,520.000000,705.340000,323.100000,17.000000,0.000000,42,42,4,12,9,8,11,19,28,0,infinity,440.680000,0.000000,0.000000,true
10600,530.000000,777.840000,345.100000,18.000000,0.000000,42,42,4,12,10,8,11,19,29,0,infinity,410.480000,0.000000,0.000000,true
10800,540.000000,815.340000,367.100000,9.000000,0.000000,42,42,4,12,9,9,11,20,29,0,infinity,385.360000,0.000000,0.000000,true
11000,550.000000,832.840000,379.100000,10.000000,0.000000,42,42,4,12,10,8,11,19,29,0,infinity,362.360000,0.000000,0.000000,true
11200,560.000000,915.340000,411.100000,11.000000,0.000000,42,42,4,12,10,8,11,19,29,0,infinity,335.500000,0.000000,0.000000,true
11400,570.000000,997.840000,433.100000,12.000000,0.000000,42,42,4,12,10,9,11,20,30,0,infinity,311.100000,0.000000,0.000000,true
11600,580.000000,1050.340000,455.100000,13.000000,0.000000,42,42,4,12,10,9,11,20,30,0,infinity,284.040000,0.000000,0.000000,true
11800,590.000000,1122.840000,497.100000,14.000000,0.000000,42,42,4,12,10,9,11,20,30,0,infinity,265.860000,0.000000,0.000000,true
12000,600.000000,1185.340000,509.100000,15.000000,0.000000,42,42,4,12,10,9,11,20,30,0,infinity,231.520000,0.000000,0.000000,true
